Date,Close
2016-12-30,28.6
2017-01-03,28.87
2017-01-04,29.77
2017-01-05,30.05
2017-01-06,29.92
2017-01-09,30.33
2017-01-10,30.68
2017-01-11,31.36
2017-01-12,31.43
2017-01-13,31.43
2017-01-17,31.17
2017-01-18,31.22
2017-01-19,31.12
2017-01-20,31.29
2017-01-23,31.18
2017-01-24,31.49
2017-01-25,31.9
2017-01-26,32.16
2017-01-27,32.3
2017-01-30,31.97
2017-01-31,32.13
2017-02-01,32.21
2017-02-02,32.2
2017-02-03,32.51
2017-02-06,32.41
2017-02-07,32.6
2017-02-08,32.39
2017-02-09,32.65
2017-02-10,32.81
2017-02-13,32.56
2017-02-14,32.64
2017-02-15,32.81
2017-02-16,35.35
2017-02-17,35.43
2017-02-21,35.71
2017-02-22,35.58
2017-02-23,35.54
2017-02-24,35.53
2017-02-27,35.46
2017-02-28,35.02
2017-03-01,35.57
2017-03-02,35.09
2017-03-03,35.16
2017-03-06,35.28
2017-03-07,35.66
2017-03-08,35.85
2017-03-09,36.07
2017-03-10,36.51
2017-03-13,36.3
2017-03-14,36.01
2017-03-15,36.4
2017-03-16,36.43
2017-03-17,36.14
2017-03-20,36
2017-03-21,35.59
2017-03-22,35.99
2017-03-23,35.67
2017-03-24,35.61
2017-03-27,35.51
2017-03-28,35.54
2017-03-29,35.58
2017-03-30,35.53
2017-03-31,35.4
2017-04-03,35.22
2017-04-04,34.97
2017-04-05,34.94
2017-04-06,35.15
2017-04-07,34.81
2017-04-10,35.22
2017-04-11,35.16
2017-04-12,35.57
2017-04-13,35.64
2017-04-17,35.91
2017-04-18,36.45
2017-04-19,36.78
2017-04-20,36.85
2017-04-21,36.68
2017-04-24,37.37
2017-04-25,37.44
2017-04-26,37.31
2017-04-27,37.65
2017-04-28,36.74
2017-05-01,37.36
2017-05-02,37.24
2017-05-03,36.53
2017-05-04,37.24
2017-05-05,37.4
2017-05-08,37.44
2017-05-09,37.51
2017-05-10,37.74
2017-05-11,36.96
2017-05-12,36.72
2017-05-15,37.27
2017-05-16,37.71
2017-05-17,36.8
2017-05-18,36.52
2017-05-19,36.94
2017-05-22,37.02
2017-05-23,37.1
2017-05-24,36.99
2017-05-25,37.7
2017-05-26,37.18
2017-05-30,37.33
2017-05-31,37.58
2017-06-01,38.02
2017-06-02,38.66
2017-06-05,38.95
2017-06-06,38.8
2017-06-07,38.44
2017-06-08,38.65
2017-06-09,37.23
2017-06-12,37.05
2017-06-13,38.4
2017-06-14,38.47
2017-06-15,38.64
2017-06-16,38.33
2017-06-19,38.81
2017-06-20,38.39
2017-06-21,38.48
2017-06-22,38.7
2017-06-23,38.84
2017-06-26,38.47
2017-06-27,37.78
2017-06-28,38.46
2017-06-29,37.96
2017-06-30,38.41
2017-07-03,37.8
2017-07-05,38.66
2017-07-06,38.57
2017-07-07,39.09
2017-07-10,38.77
2017-07-11,39.01
2017-07-12,39.68
2017-07-13,39.54
2017-07-14,39.84
2017-07-17,39.44
2017-07-18,39.56
2017-07-19,39.62
2017-07-20,39.73
2017-07-21,39.59
2017-07-24,39.67
2017-07-25,39.82
2017-07-26,39.68
2017-07-27,39.28
2017-07-28,39.21
2017-07-31,38.76
2017-08-01,38.69
2017-08-02,38.55
2017-08-03,38.35
2017-08-04,37.94
2017-08-07,38.37
2017-08-08,38.19
2017-08-09,37.42
2017-08-10,36.79
2017-08-11,37.63
2017-08-14,37.83
2017-08-15,37.77
2017-08-16,37.74
2017-08-17,36.96
2017-08-18,37.33
2017-08-21,37.54
2017-08-22,37.94
2017-08-23,37.99
2017-08-24,38.06
2017-08-25,37.86
2017-08-28,38.03
2017-08-29,38.09
2017-08-30,38.25
2017-08-31,38.71
2017-09-01,38.7
2017-09-05,38.74
2017-09-06,38.69
2017-09-07,38.66
2017-09-08,38.5
2017-09-11,38.55
2017-09-12,38.29
2017-09-13,38.07
2017-09-14,37.96
2017-09-15,38.04
2017-09-18,38.12
2017-09-19,38.15
2017-09-20,38.5
2017-09-21,38.56
2017-09-22,38.6
2017-09-25,38.72
2017-09-26,38.83
2017-09-27,39.9
2017-09-28,39.86
2017-09-29,40.15
2017-10-02,40.21
2017-10-03,40.47
2017-10-04,40.87
2017-10-05,41
2017-10-06,40.91
2017-10-09,40.8
2017-10-10,40.66
2017-10-11,40.7
2017-10-12,41.07
2017-10-13,40.97
2017-10-16,41.58
2017-10-17,41.56
2017-10-18,41.69
2017-10-19,41.86
2017-10-20,41.98
2017-10-23,42.1
2017-10-24,42.04
2017-10-25,42.07
2017-10-26,40.55
2017-10-27,40.61
2017-10-30,40.07
2017-10-31,40.2
2017-11-01,39.93
2017-11-02,40.48
2017-11-03,40.55
2017-11-06,40.77
2017-11-07,40.6
2017-11-08,40.73
2017-11-09,40.01
2017-11-10,39.86
2017-11-13,39.81
2017-11-14,39.77
2017-11-15,39.69
2017-11-16,40.11
2017-11-17,39.94
2017-11-20,39.69
2017-11-21,41.01
2017-11-22,40.5
2017-11-24,40.88
2017-11-27,40.9
2017-11-28,41.54
2017-11-29,40.99
2017-11-30,41.29
2017-12-01,40.97
2017-12-04,40.48
2017-12-05,40.65
2017-12-06,40.1
2017-12-07,40.56
2017-12-08,40.63
2017-12-11,41.38
2017-12-12,41.52
2017-12-13,41.49
2017-12-14,41.3
2017-12-15,41
2017-12-18,40.73
2017-12-19,40.84
2017-12-20,40.38
2017-12-21,40.4
2017-12-22,40.44
2017-12-26,40.15
2017-12-27,40.43
2017-12-28,40.29
2017-12-29,40.48
2018-01-02,40.61
2018-01-03,41.05
2018-01-04,41.46
2018-01-05,41.85
2018-01-08,42.21
2018-01-09,42.27
2018-01-10,47.69
2018-01-11,50.34
2018-01-12,49.47
2018-01-16,48.48
2018-01-17,49.71
2018-01-18,49.94
2018-01-19,49.98
2018-01-22,49.97
2018-01-23,50.44
2018-01-24,50.25
2018-01-25,50.51
2018-01-26,50.14
2018-01-29,49.29
2018-01-30,49.95
2018-01-31,50.28
2018-02-01,49.58
2018-02-02,48.94
2018-02-05,47.34
2018-02-06,47.48
2018-02-07,48.28
2018-02-08,47.74
2018-02-09,48.15
2018-02-12,48.48
2018-02-13,49.01
2018-02-14,49.76
2018-02-15,50.28
2018-02-16,50
2018-02-20,50.45
2018-02-21,50.11
2018-02-22,50.16
2018-02-23,50.49
2018-02-26,50.26
2018-02-27,49.73
2018-02-28,49.52
2018-03-01,49.34
2018-03-02,50.23
2018-03-05,51.79
2018-03-06,51.58
2018-03-07,52.49
2018-03-08,51.93
2018-03-09,51.94
2018-03-12,52.12
2018-03-13,52.23
2018-03-14,52.11
2018-03-15,52.08
2018-03-16,52.59
2018-03-19,52.1
2018-03-20,52.68
2018-03-21,53.14
2018-03-22,52.41
2018-03-23,51.55
2018-03-26,53.2
2018-03-27,52.3
2018-03-28,51.54
2018-03-29,53.64
2018-04-02,51.84
2018-04-03,49
2018-04-04,48.98
2018-04-05,48.17
2018-04-06,48.32
2018-04-09,48.41
2018-04-10,48.92
2018-04-11,49.56
2018-04-12,50.41
2018-04-13,50.09
2018-04-16,50.71
2018-04-17,51.23
2018-04-18,51.73
2018-04-19,50.62
2018-04-20,50.37
2018-04-23,50.21
2018-04-24,50.01
2018-04-25,49.16
2018-04-26,49.82
2018-04-27,50.01
2018-04-30,49.65
2018-05-01,49.99
2018-05-02,48.3
2018-05-03,47.98
2018-05-04,48.26
2018-05-07,48.75
2018-05-08,49.21
2018-05-09,49
2018-05-10,49.04
2018-05-11,49.19
2018-05-14,48.42
2018-05-15,48.56
2018-05-16,49.17
2018-05-17,49.52
2018-05-18,49.92
2018-05-21,49.98
2018-05-22,49.54
2018-05-23,50
2018-05-24,50.17
2018-05-25,50.2
2018-05-29,50.03
2018-05-30,49.81
2018-05-31,50.91
2018-06-01,50.93
2018-06-04,51.3
2018-06-05,52.04
2018-06-06,52.27
2018-06-07,51.51
2018-06-08,51.68
2018-06-11,51.97
2018-06-12,52.62
2018-06-13,52.42
2018-06-14,53.02
2018-06-15,53.32
2018-06-18,54.51
2018-06-19,54.67
2018-06-20,54.55
2018-06-21,54.51
2018-06-22,54.88
2018-06-25,52.44
2018-06-26,52.59
2018-06-27,51.34
2018-06-28,51.87
2018-06-29,51.9
2018-07-02,52.3
2018-07-03,52.54
2018-07-05,53.02
2018-07-06,54.19
2018-07-09,54.04
2018-07-10,53.77
2018-07-11,53.55
2018-07-12,54.61
2018-07-13,54.39
2018-07-16,54.02
2018-07-17,53.97
2018-07-18,53.91
2018-07-19,54.71
2018-07-20,55.57
2018-07-23,55.77
2018-07-24,54.75
2018-07-25,56.13
2018-07-26,55.79
2018-07-27,54.51
2018-07-30,52.74
2018-07-31,53.07
2018-08-01,53.96
2018-08-02,54.35
2018-08-03,56.75
2018-08-06,55.81
2018-08-07,55.73
2018-08-08,55.09
2018-08-09,55.53
2018-08-10,55.5
2018-08-13,55.19
2018-08-14,55.42
2018-08-15,54.57
2018-08-16,55.23
2018-08-17,55.85
2018-08-20,56.15
2018-08-21,56.23
2018-08-22,56.67
2018-08-23,56.86
2018-08-24,57.6
2018-08-27,58.39
2018-08-28,58.4
2018-08-29,58.62
2018-08-30,58.78
2018-08-31,59.34
2018-09-04,59
2018-09-05,55.13
2018-09-06,55.15
2018-09-07,53.34
2018-09-10,54.94
2018-09-11,55.95
2018-09-12,57.08
2018-09-13,57.66
2018-09-14,57.51
2018-09-17,55.59
2018-09-18,56.01
2018-09-19,55.11
2018-09-20,55.21
2018-09-21,55.01
2018-09-24,55.25
2018-09-25,55.48
2018-09-26,56
2018-09-27,56.25
2018-09-28,56.83
2018-10-01,55.84
2018-10-02,55
2018-10-03,55.25
2018-10-04,55.02
2018-10-05,53.74
2018-10-08,53.18
2018-10-09,53.09
2018-10-10,51.3
2018-10-11,49.51
2018-10-12,51.11
2018-10-15,50.61
2018-10-16,51.78
2018-10-17,52.53
2018-10-18,51.34
2018-10-19,50.29
2018-10-22,49.92
2018-10-23,51.78
2018-10-24,49.49
2018-10-25,51.33
2018-10-26,49.29
2018-10-29,47.72
2018-10-30,49.02
2018-10-31,51.16
2018-11-01,51.25
2018-11-02,50.52
2018-11-05,49.48
2018-11-06,49.41
2018-11-07,52.01
2018-11-08,51.91
2018-11-09,49.94
2018-11-12,48.03
2018-11-13,47.43
2018-11-14,46.72
2018-11-15,47.23
2018-11-16,47.47
2018-11-19,45.3
2018-11-20,44.85
2018-11-21,45.54
2018-11-23,45.69
2018-11-26,46.02
2018-11-27,45.58
2018-11-28,48.33
2018-11-29,48.5
2018-11-30,48.15
2018-12-03,48.98
2018-12-04,46.28
2018-12-06,46.96
2018-12-07,46.53
2018-12-10,46.13
2018-12-11,45.79
2018-12-12,46.19
2018-12-13,46.07
2018-12-14,45.74
2018-12-17,44.28
2018-12-18,44.61
2018-12-19,44.58
2018-12-20,43.65
2018-12-21,42.44
2018-12-24,41.6
2018-12-26,44.6
2018-12-27,45.3
2018-12-28,44.87
2018-12-31,45.11
2019-01-02,44.42
2019-01-03,43.37
2019-01-04,45.08
